,marker_over_R,D_reference_mode_amp_over_R,MA_reference_mode_amp_over_R,TTR_reference_mode_amp_over_R,P_reference_mode_amp_over_R
marker_over_R,1.0,0.1828488101263693,0.32502672327403265,0.1643427584079924,0.5099167030945845
D_reference_mode_amp_over_R,0.1828488101263693,1.0,0.16984406313033631,0.23734592686969835,0.5028427351374983
MA_reference_mode_amp_over_R,0.32502672327403265,0.16984406313033631,1.0,0.5960305785344248,0.4999956757182257
TTR_reference_mode_amp_over_R,0.1643427584079924,0.23734592686969835,0.5960305785344248,1.0,0.1991028746376981
P_reference_mode_amp_over_R,0.5099167030945845,0.5028427351374983,0.4999956757182257,0.1991028746376981,1.0
