start,stop,n,time_start_star,time_end_star,delta_aicc,loocv_ratio,phi_physical,tau_physical_star,mode_alignment_reference,uniform_mode_correlation,far_angle_mean_correlation,psd_correction_physical,strict_window_pass,case,strict_window_pass_corrected
0,192,192,0.0,45.7817689449694,47.62791240960595,0.8101773022851537,0.6906112224448898,0.6475127302364484,0.9575753519604712,0.8474485854395833,0.1841373672928006,0.0389648530865438,0,Kn0p025,True
48,240,192,11.505366017583931,57.28713496255334,52.97402174271416,0.7502774594501398,0.6382164328657315,0.5337496452810317,0.9404449768715076,0.8498060837753311,0.2274280047042471,0.0804242263787304,0,Kn0p025,True
96,288,192,23.010732035167862,68.79250098013726,55.56169250973727,0.8945553818176513,0.5533867735470942,0.4050969918585505,0.9344791530436096,0.8443049576707916,0.1844617132482593,0.1249237577139459,0,Kn0p025,True
144,336,192,34.5160980527518,80.2978669977212,57.24191626284817,0.7172969865432691,0.8353206412825651,1.332086379684098,0.933698066808618,0.8808832573339518,0.2500155388895823,0.0056352722401916,0,Kn0p025,True
192,384,192,46.02146407033573,91.80323301530514,58.43612723930448,0.902920333474076,0.7205511022044089,0.7313599212405751,0.9124017421607736,0.9050944863394562,0.2046146165206504,0.0720979225687731,0,Kn0p025,True
240,432,192,57.52683008791967,103.30859903288906,22.72392522756292,1.1319640041096546,0.6931062124248498,0.6538827510206258,0.7994889255502522,0.8410740100184754,0.1300504498844074,0.0998653583565349,0,Kn0p025,False
288,480,192,69.0321961055036,114.813965050473,47.18384787280937,0.8018880569568213,0.7205511022044089,0.7313599212405968,0.9334498975961096,0.8307090833255412,0.1861636451348375,0.0624896345881012,0,Kn0p025,True
336,528,192,80.53756212308754,126.31933106805694,41.87891378604558,1.5681784245902386,0.4261422845691384,0.2810084257104172,0.9511068721266472,0.8701152184644722,0.1554498827459914,0.3530894611638432,0,Kn0p025,False
384,576,192,92.04292814067146,137.82469708564088,37.93525580571194,1.667723537389952,0.4011923847695391,0.2624454150194423,0.9221956559010076,0.7818864398746845,0.0782539252208968,0.3954010049718606,0,Kn0p025,False
0,192,192,0.0,82.29363099502719,8.682882066076331,5.0093220602354975,0.2215531062124249,0.2858859525659868,0.8077468174340049,0.68459116895235,0.0602631983480984,0.7046181786401424,0,Kn0p050,False
48,240,192,20.68112192545185,102.97475292047903,3.7491917441684,7.222001568687435,0.216563126252505,0.2816290313441841,0.517881134861636,0.6243599613998069,0.0603839239597437,0.7772875596423828,0,Kn0p050,False
96,288,192,41.36224385090371,123.6558748459309,5.473167452184015,7.448602777086466,0.2415130260521042,0.3032425694467715,0.635697080975853,0.7503747852880669,0.0775583122459875,0.7712545330308337,0,Kn0p050,False
144,336,192,62.04336577635557,144.33699677138276,3.341921377388445,9.32141798152847,0.154188376753507,0.2304563918374134,0.7934078395096187,0.5997295874862747,0.0256156384529297,0.8308631560266455,0,Kn0p050,False
192,384,192,82.72448770180742,165.01811869683462,11.83683273054993,4.960888216088962,0.186623246492986,0.2566665252189862,0.8129167698174188,0.6375176453630922,0.017925465173872,0.6910387106224697,0,Kn0p050,False
0,192,192,0.0,93.8124888891382,45.55064108332443,1.3165124676547282,0.3487975951903808,0.4663266807629109,0.8571167155428291,0.6885006280241467,0.094007824999753,0.3889688194442848,0,Kn0p075,False
48,240,192,23.57591343810803,117.38840232724624,37.22800855733556,1.669223272303839,0.3138677354709419,0.4238624541881863,0.8713268082914729,0.687176540819892,0.0813752419643695,0.418707771923551,0,Kn0p075,False
96,288,192,47.15182687621606,140.96431576535426,32.34099816637759,1.026143835450542,0.5783366733466935,0.8969424223889494,0.7970270343388852,0.612423154497221,0.0480360384405592,0.1161507027625873,0,Kn0p075,False
