case,Kn,field_pc1_variance_fraction,field_pc1_marker_correlation,median_cross_variable_correlation
Kn0p01,0.01,0.8728002403039337,0.885711279052869,0.8074877178276071
Kn0p025,0.025,0.7057164022079607,0.6471468759516167,0.5554922938627319
Kn0p050,0.05,0.5291478577444902,0.4168262018301981,0.36867080129396207
