theta_deg,s_peak_over_R,delta_over_R
120.0,0.7342941861200251,0.1109904999035521
121.0,0.7198622453863821,0.11239147340060758
122.0,0.7062553413002857,0.11316000113755795
123.0,0.6929124597104871,0.11405250274054507
124.0,0.6790228384390462,0.11489508970560386
125.0,0.6670190580754938,0.11682731215677747
126.0,0.654764054251013,0.11819448276190692
127.0,0.6422796227021145,0.11783862397991228
128.0,0.630667658429192,0.11963929535685022
129.0,0.6196201319926747,0.1233249035650985
130.0,0.6095618324413208,0.1227295051650669
131.0,0.598331159850552,0.12276892731896112
132.0,0.5877927679726755,0.12473185232391064
133.0,0.5784883457628847,0.12562900482674538
134.0,0.5691383130655073,0.12826305703715016
135.0,0.5597671427418759,0.12819717721259957
136.0,0.5504017971601299,0.13085547345492024
137.0,0.542835805054059,0.13028202058231042
138.0,0.5348321704774976,0.13037938653083492
139.0,0.5277849203583039,0.1309741899053915
140.0,0.5195606809725671,0.13128361007561007
141.0,0.5126600437087717,0.1314517979740138
142.0,0.5059923788019892,0.13345942822595475
143.0,0.4988958197854759,0.13250824952251705
144.0,0.4929457783601668,0.13376217451591146
145.0,0.4864800218925285,0.1324408798654842
146.0,0.48047397688698007,0.13321156101612464
147.0,0.4749790042494788,0.13564083186085338
148.0,0.469286497211889,0.13558296441587525
149.0,0.4639726383950359,0.13565385560122548
150.0,0.4592473529243147,0.1352072875235107
151.0,0.45446969404561227,0.13380770980451373
152.0,0.4508480606127859,0.13341764016702162
153.0,0.4465791769677358,0.1311008906256209
154.0,0.4432134071642962,0.13004550121169614
155.0,0.44002814581934635,0.12845605677201347
156.0,0.4366359084195489,0.12681130647656258
157.0,0.43361329234111345,0.12543588396609034
158.0,0.4308212607595404,0.1240661372731374
159.0,0.42807029230513516,0.12229850841285701
160.0,0.4257814490543486,0.12071914631286185
161.0,0.42357320679884286,0.11978786611710211
162.0,0.42150589063709687,0.11787362576838656
163.0,0.41971737048982494,0.11683988994836528
164.0,0.4181054715055076,0.11550741940134537
165.0,0.4164316587716019,0.11452498435869368
166.0,0.41524432474648554,0.11357791586970259
167.0,0.4137494066714525,0.11223472512576699
168.0,0.4128872691460929,0.11119823519927216
169.0,0.41180409692818515,0.11047365727202449
170.0,0.4108964005064007,0.10988580549118063
171.0,0.40996758763950275,0.10878919087446942
172.0,0.4094258655251155,0.10809876300708922
173.0,0.408794623840106,0.10759780990064621
174.0,0.40845455125350966,0.10748876598327733
175.0,0.4079407586092821,0.10706332463684921
176.0,0.40764753325707453,0.10667724563095264
177.0,0.4074341428019229,0.10665958341901774
178.0,0.4070401993927414,0.10592138431965888
179.0,0.40700115511576496,0.10599001925577978
