case,Kn,variable,xi_shift,median_projection_fraction
Kn0p01,0.01,D,-1.0,0.01252673408935899
Kn0p01,0.01,D,-0.5,0.023872555537345724
Kn0p01,0.01,D,0.0,0.052875566615439386
Kn0p01,0.01,D,0.5,0.019885145364479946
Kn0p01,0.01,D,1.0,0.0029457244669484446
Kn0p01,0.01,MA,-1.0,0.011248351151480433
Kn0p01,0.01,MA,-0.5,0.01794719289214668
Kn0p01,0.01,MA,0.0,0.022988645142115002
Kn0p01,0.01,MA,0.5,0.021284408191657243
Kn0p01,0.01,MA,1.0,0.025734637126655045
Kn0p01,0.01,TTR,-1.0,0.0034164779669173485
Kn0p01,0.01,TTR,-0.5,0.006019835071217209
Kn0p01,0.01,TTR,0.0,0.01237143777765802
Kn0p01,0.01,TTR,0.5,0.005595388692688791
Kn0p01,0.01,TTR,1.0,0.0065123868545102544
Kn0p01,0.01,P,-1.0,0.015259654162128381
Kn0p01,0.01,P,-0.5,0.027760343756530026
Kn0p01,0.01,P,0.0,0.04026327724066621
Kn0p01,0.01,P,0.5,0.01783543778079638
Kn0p01,0.01,P,1.0,0.007126139877334545
