theta_deg,physical_mode1
120.0,-0.16786703266927994
121.0,-0.143976401589816
122.0,-0.15561414519576794
123.0,-0.17242778383432097
124.0,-0.21254387595697857
125.0,-0.10427904919090232
126.0,-0.0827401728970358
127.0,-0.09380121677098281
128.0,-0.1149906981802238
129.0,-0.12390304733959488
130.0,-0.09976756173739693
131.0,-0.0705633971914493
132.0,-0.02556885330169915
133.0,-0.011936706321942126
134.0,-0.006745226256011568
135.0,-0.044749536847620494
136.0,-0.15188116683062042
137.0,-0.18534621777617621
138.0,-0.20708013560025368
139.0,-0.20814573081933352
140.0,-0.20369826919013853
141.0,-0.21066959982056666
142.0,-0.240780390062542
143.0,-0.2885250482729898
144.0,-0.22487527537046295
145.0,-0.1824943715081186
146.0,-0.1671185539971293
147.0,-0.18301713174698606
148.0,-0.1779586670001873
149.0,-0.1559265601533397
150.0,-0.10683239453707834
151.0,-0.0714079172241939
152.0,0.05563465820859929
153.0,0.06216558804690612
154.0,-0.024558934563235484
155.0,-0.08444077493270437
156.0,-0.06403655120399561
157.0,-0.062195107652443384
158.0,-0.016346338604495424
159.0,0.057654183706892945
160.0,0.057277951303551504
161.0,-0.0007046423807232898
162.0,-0.041157042329099856
163.0,-0.0633344458863539
164.0,-0.04856415002645703
165.0,0.02451846060517181
166.0,0.010294377692959633
167.0,0.10197213862639316
168.0,0.06758209994608935
169.0,0.042210069439605535
170.0,0.03839924334827167
171.0,-0.15301501137231646
172.0,-0.1533832166906955
173.0,-0.15923474253593564
174.0,-0.10852795715175971
175.0,-0.11407529854049268
176.0,-0.07937184028032729
177.0,-0.03148617766693603
178.0,-0.1292502038038002
179.0,-0.11389267445376619
