theta_deg,physical_mode1
120.0,-0.13706477940746653
121.0,-0.15333178737739728
122.0,-0.18801461003230477
123.0,-0.182387045686573
124.0,-0.1866918959431235
125.0,-0.18243019629197121
126.0,-0.17446653053628278
127.0,-0.21400934535263363
128.0,-0.18865643206061813
129.0,-0.1813257103018256
130.0,-0.19516269272708012
131.0,-0.19916649767467545
132.0,-0.20083828693288278
133.0,-0.18920720917649994
134.0,-0.17839715500734885
135.0,-0.1808934272025422
136.0,-0.1924083778154822
137.0,-0.17409452762049116
138.0,-0.18560542606897842
139.0,-0.16403871022467081
140.0,-0.17694879647017717
141.0,-0.17007710609983492
142.0,-0.15372215371221531
143.0,-0.17892239224630124
144.0,-0.13482281102122243
145.0,-0.119172556865938
146.0,-0.14503607350100894
147.0,-0.12778966502889236
148.0,-0.11864790921866436
149.0,-0.12411657027277964
150.0,-0.13790697468430577
151.0,-0.12139186926711652
152.0,-0.10267802935599588
153.0,-0.08554763068210952
154.0,-0.09349354547549765
155.0,-0.07792278040938898
156.0,-0.06758241299775208
157.0,-0.05411207311967417
158.0,-0.05617259146814367
159.0,-0.05592017638603739
160.0,-0.06783354186639298
161.0,-0.06082152442650378
162.0,-0.04467765237933907
163.0,-0.04614278306713363
164.0,-0.045611190990717955
165.0,-0.028907135375047726
166.0,-0.04129904625322178
167.0,-0.031695557825436156
168.0,-0.04867989532436229
169.0,-0.024000290449146235
170.0,-0.04617833235830322
171.0,-0.03672520213974605
172.0,-0.02517181293313998
173.0,-0.052738982009237025
174.0,-0.04683218883951205
175.0,-0.0339224747257191
176.0,-0.003697152886221971
177.0,-0.0249642258173634
178.0,-0.027518279078429263
179.0,-0.03421813926278315
