theta_deg,physical_mode1
120.0,0.15735810760367452
121.0,0.10946336726341804
122.0,0.21644086798411727
123.0,0.2588942824100377
124.0,0.23647583939302433
125.0,0.2560647569642009
126.0,0.22887807173739633
127.0,0.2277961020254913
128.0,0.2152293065841334
129.0,0.2219725583381555
130.0,0.12438214655140835
131.0,0.1398843987387053
132.0,0.21975925564050136
133.0,0.15762644297422945
134.0,0.1841219958788181
135.0,0.26475520991170104
136.0,0.18067942005794294
137.0,0.10855440053986375
138.0,0.03736274469237346
139.0,-0.009058970662182303
140.0,0.013350481228699767
141.0,-0.005512413579743084
142.0,-0.00881232949853987
143.0,0.0006612272415675136
144.0,-0.023067009315449777
145.0,0.03605948956072183
146.0,0.08371506162675356
147.0,0.07472407757365827
148.0,0.11374969466093578
149.0,0.08740460742963574
150.0,0.03940145751153244
151.0,0.04284871669698951
152.0,0.04181850410605918
153.0,-0.024494229216849135
154.0,-0.06362349042490936
155.0,-0.07904572286742251
156.0,-0.07682648312803614
157.0,-0.02688629331980697
158.0,-0.0237269451951415
159.0,0.04100830415022739
160.0,0.08116693213873916
161.0,0.061771051630200864
162.0,0.08840094254835697
163.0,0.14570262957098623
164.0,0.15553818781668413
165.0,0.1573006787344211
166.0,0.20821766730276123
167.0,0.13839527881895025
168.0,0.0983678748890885
169.0,0.016008921554472637
170.0,0.05314102935005421
171.0,0.05237448530604868
172.0,0.10194641628105848
173.0,0.0151004185060227
174.0,0.10439475254869922
175.0,0.011336388430716085
176.0,0.06388740602017368
177.0,0.033885729449287305
178.0,0.12551616946881194
179.0,0.026904296367449
