theta_deg,s_peak_over_R,delta_over_R
120.0,0.7285035959220392,0.25479371721471455
121.0,0.7137986058595487,0.2557585683490883
122.0,0.699070989811965,0.25791437850895377
123.0,0.6852051598155283,0.2591459136642439
124.0,0.6718652544465863,0.2604304295269963
125.0,0.6585919598686425,0.2615290297148049
126.0,0.645581198302613,0.2630668249160008
127.0,0.6337553665842396,0.2630818728191201
128.0,0.6221286225777389,0.2635592517365798
129.0,0.6108000337519839,0.26456088518190013
130.0,0.5999834697532112,0.26474349792461155
131.0,0.5897626065045418,0.264055121071129
132.0,0.5798945715638566,0.2630698612305917
133.0,0.5705338323227651,0.2628154812823379
134.0,0.5613945366450035,0.2619665026885014
135.0,0.5525843058545518,0.26082598207483615
136.0,0.5446496411074685,0.2581767754873034
137.0,0.5365915870310399,0.25800724135001213
138.0,0.5292617972092023,0.2566119013274068
139.0,0.5217404458756365,0.2535633357861843
140.0,0.5151646604469282,0.251424468430001
141.0,0.5090815544882183,0.24867164657186194
142.0,0.5028671998017625,0.24540649200255812
143.0,0.4978616232213567,0.2419311033205946
144.0,0.49200707417631473,0.2397310547156561
145.0,0.48697700197837496,0.23647717818181246
146.0,0.4820150208303512,0.2333835497674399
147.0,0.477459925163992,0.23023372359396793
148.0,0.4738012864812666,0.22718615917865453
149.0,0.47004197134066567,0.22488812833178637
150.0,0.4660391800097672,0.2221994582066277
151.0,0.46292261278701424,0.22020567809586983
152.0,0.45966555060622327,0.21695584647674568
153.0,0.45701799175956415,0.2149983147534276
154.0,0.4539728928612264,0.2126202442562941
155.0,0.4514667653014578,0.2106065898531043
156.0,0.4490449074960598,0.2082977971757693
157.0,0.44714156961402907,0.2063084474240082
158.0,0.44529075051051664,0.20404245713872757
159.0,0.4434627999731614,0.20261875448254854
160.0,0.4419271137262095,0.20110286850090456
161.0,0.4400352604763437,0.199278513413649
162.0,0.43853207199015015,0.1979762316160053
163.0,0.4373465025196342,0.19674351218838557
164.0,0.43611138730708127,0.1959769083581897
165.0,0.43517252586284955,0.19447796507527298
166.0,0.4342573969153473,0.1926726588024252
167.0,0.4334207982731607,0.19209515674456587
168.0,0.4323999163659542,0.1909015234108928
169.0,0.4314936573699188,0.19029237669461246
170.0,0.43100237468022407,0.189689590963795
171.0,0.43018752122301485,0.18924772658958883
172.0,0.42967585898273686,0.18899818237405347
173.0,0.4293546767244477,0.18846488714210993
174.0,0.4289508826399692,0.1876491905682895
175.0,0.4286707744052017,0.1881885987678543
176.0,0.42847783142141915,0.1872693503162919
177.0,0.4280585615551323,0.18727530605099876
178.0,0.42788920538674036,0.1873357925722658
179.0,0.4279161973215807,0.18707423263842202
