,marker_over_R,D_reference_mode_amp_over_R,MA_reference_mode_amp_over_R,TTR_reference_mode_amp_over_R,P_reference_mode_amp_over_R
marker_over_R,1.0,0.9460943866291185,0.7553525312217785,0.7073831665364361,0.901334033198488
D_reference_mode_amp_over_R,0.9460943866291185,1.0,0.7577336383216201,0.7075083716124652,0.9557818902872214
MA_reference_mode_amp_over_R,0.7553525312217785,0.7577336383216201,1.0,0.944364175076395,0.8195193770223304
TTR_reference_mode_amp_over_R,0.7073831665364361,0.7075083716124652,0.944364175076395,1.0,0.7954560586328853
P_reference_mode_amp_over_R,0.901334033198488,0.9557818902872214,0.8195193770223304,0.7954560586328853,1.0
