snapshot,time_star,marker_over_R,D_reference_mode_amp_over_R,D_reference_mode_spatial_corr,D_reference_mode_projection_fraction,D_uniform_amp_over_R,D_uniform_spatial_corr,D_uniform_projection_fraction,MA_reference_mode_amp_over_R,MA_reference_mode_spatial_corr,MA_reference_mode_projection_fraction,MA_uniform_amp_over_R,MA_uniform_spatial_corr,MA_uniform_projection_fraction,TTR_reference_mode_amp_over_R,TTR_reference_mode_spatial_corr,TTR_reference_mode_projection_fraction,TTR_uniform_amp_over_R,TTR_uniform_spatial_corr,TTR_uniform_projection_fraction,P_reference_mode_amp_over_R,P_reference_mode_spatial_corr,P_reference_mode_projection_fraction,P_uniform_amp_over_R,P_uniform_spatial_corr,P_uniform_projection_fraction
1,0.0,0.0009321183693674639,0.0008273261483732671,0.47426789776050554,0.22493003884616936,0.0011202467615657405,0.5886815832773422,0.3465460064899185,0.0010634609905018574,0.5216089672090393,0.2720759146728806,0.0011916548806890526,0.517690411923652,0.2680033625976804,0.001154156328965025,0.37199766465962414,0.13838226251221414,0.0013113507748778305,0.4033555429661512,0.16269569404151868,0.0008683175394142422,0.5057200210926257,0.25575273973392576,0.0009403512759970483,0.5428753540293237,0.2947136500124636
2,0.288,0.0007724163345928692,0.0004954593789629594,0.31524456805280404,0.099379137686799,0.00035757743407551217,0.20855923997112213,0.0434969565773321,0.0010643604244175318,0.46015499681011324,0.2117426210893153,0.000836193523730236,0.3201978153049227,0.1025266409260454,0.001148353724895087,0.35903314025386857,0.12890479580055408,0.0007718255204905583,0.23028813616325,0.05303262565754358,0.000677535215924465,0.3328625279107443,0.11079746248713103,0.0002920510298561786,0.14222312253685443,0.02022741658413311
3,0.576,0.000538608744587307,0.0005419132311954432,0.37143071892454776,0.1379607789608064,0.00026572730389824056,0.16695676422985956,0.027874561122104916,0.00023018952286667297,0.09355432086272795,0.008752410952086256,-0.0002254683261470875,-0.08116335274728413,0.006587489829180075,-6.436916293643812e-05,-0.018079585386217782,0.0003268714077375396,-0.0004799046739836486,-0.12863500303011483,0.01654696400455765,0.0002612735661787753,0.15549255600174447,0.024177934971955636,-5.352219349875072e-05,-0.03157377188002802,0.0009969030707320482
4,0.8639999999999999,9.71468709770714e-05,0.00022504684215102382,0.15845177311471054,0.02510696440319571,-3.79155416466051e-05,-0.024471535378111135,0.000598856043762145,7.480458425695076e-05,0.03686966388648393,0.0013593721151022975,-0.00016806594620405118,-0.07336971468281595,0.005383115032637819,0.00018829240037429533,0.059101222755874934,0.0034929545312395484,6.605251297912658e-06,0.001978548021547045,3.914652273567727e-06,0.0002775112522498122,0.18200875341356249,0.033127186319159,-3.642572356128499e-06,-0.002368090518444366,5.607852703546106e-06
5,1.152,0.0009967866038906128,0.0005786328868495653,0.34736190495278835,0.12066029301242999,0.00022839321857720318,0.1256845958734962,0.015796617639884054,0.0009188370170917487,0.44639321285551853,0.19926690048347226,0.0008417349732692637,0.36220180648030903,0.13119014861759928,0.0009680353948263017,0.30087800320280256,0.09052757281130568,0.0006814535960742249,0.20212920372578347,0.04085621499881928,0.000661698299181294,0.36083935075506135,0.1302050370533342,0.0004818801241210401,0.2604781636603596,0.06784887374387306
6,1.44,0.0005500005369811668,0.000417815455455924,0.2960507542180196,0.08764604907305824,0.0004170959950986799,0.2709177527473533,0.07339642875367607,0.0005480810176642015,0.23806439714357372,0.056674657187333194,0.0011421375697253215,0.4394042447558781,0.19307609030948364,0.000530105230464178,0.1635687171231177,0.026754725221302504,0.00109431988774917,0.32223746054139474,0.10383698097616692,0.0004710729810227216,0.26840043555908055,0.07203879380830415,0.0007827040547234355,0.4420496367500416,0.19540788135084375
7,1.7279999999999998,-2.0146127603690133e-05,0.00023994362508125057,0.13645646100636405,0.018620365750381354,0.0005569800372909111,0.2903650168985261,0.08431184303848138,-0.0003737902708403447,-0.18440903409285472,0.03400669185505966,0.00010850524629132527,0.04741339757887343,0.002248030269972321,-0.0003518195378573775,-0.11792810374561516,0.01390703765303657,9.169479665863966e-05,0.029331591598668674,0.0008603422657110909,-2.9084422571254425e-05,-0.015185114055984881,0.0002305876888932696,0.00036127960250964856,0.18697325483863542,0.03495899802495331
8,2.016,2.6692122636082422e-05,8.328026898777636e-05,0.06755596523984639,0.0045638084394873345,0.00017846671487614158,0.13270845330973485,0.01761153357986207,0.00012538237808010615,0.06281955033715068,0.003946295904561809,0.00034246977934836403,0.15197659677549022,0.023096885967459947,0.00032771453231966616,0.11884431433610722,0.014123971050019463,0.0005886645332044875,0.2037249199097645,0.041503842992239956,0.00019487190656123984,0.13025822602903225,0.016967205448230452,0.0003319899810787432,0.21996791397040724,0.048385883176492485
9,2.304,0.00029561288710316176,1.9563619010379202e-05,0.015851875981952552,0.0002512819721472042,-1.4070376918867881e-05,-0.010450978990275849,0.00010922296185518719,7.20821807571633e-05,0.03627020742447138,0.0013155279466141791,3.580546797285513e-05,0.015957601546251955,0.00025464504710894284,-1.9971935374306177e-05,-0.007193597637717005,5.174784697336767e-05,-0.00016640311809760266,-0.057198024134676916,0.0032716139649110825,-2.2107450248263725e-05,-0.016074347317340275,0.00025838464167848445,-0.00016902685503761367,-0.12182287260682476,0.014840812290178652
10,2.5919999999999996,7.21265751919024e-05,4.059918456562328e-06,0.0027189393435340043,7.392631153817123e-06,-7.385175702323884e-05,-0.0453380476100453,0.002055538561090734,0.00035165987680603423,0.17108285969478926,0.02926934488134695,-0.0001400114147593137,-0.06033138089661274,0.0036398755208921696,0.0003522721832511638,0.10500200828596379,0.011025421744085608,-0.000409253889104419,-0.1164141163381996,0.013552246482803874,-0.00027641762126101604,-0.16440519188411049,0.027029067118451194,-0.0004821093916659719,-0.28423256115527495,0.08078814882088711
