,marker_over_R,D_reference_mode_amp_over_R,MA_reference_mode_amp_over_R,TTR_reference_mode_amp_over_R,P_reference_mode_amp_over_R
marker_over_R,1.0,0.7896501088792919,0.39530278819087256,0.27335416683018665,0.7270855953407682
D_reference_mode_amp_over_R,0.7896501088792919,1.0,0.4191823194930313,0.334291472724212,0.8724801110199879
MA_reference_mode_amp_over_R,0.39530278819087256,0.4191823194930313,1.0,0.8944066799874111,0.5918988097352215
TTR_reference_mode_amp_over_R,0.27335416683018665,0.334291472724212,0.8944066799874111,1.0,0.519085777990242
P_reference_mode_amp_over_R,0.7270855953407682,0.8724801110199879,0.5918988097352215,0.519085777990242,1.0
