theta_deg,s_peak_over_R,delta_over_R
120.0,0.7058467379413712,0.5330902563164693
121.0,0.6917064181966631,0.5261483741773249
122.0,0.6783439692084848,0.5208551810899451
123.0,0.665704224189287,0.5132184278264058
124.0,0.65355316092857,0.5042835808924032
125.0,0.6420283547788443,0.4983900859424195
126.0,0.631214771440589,0.4919173591777221
127.0,0.6212175465249272,0.4814011810022885
128.0,0.611109507527473,0.47302503669268375
129.0,0.6018228596468724,0.4664853552136627
130.0,0.5931215757343314,0.46070661331357116
131.0,0.5848270758782186,0.4529864901395145
132.0,0.5772705460781455,0.4456901028882526
133.0,0.569279655334157,0.43977487344862926
134.0,0.5621266204627552,0.4334188934825362
135.0,0.5556893373003049,0.4295075791169469
136.0,0.54990765011514,0.42287398912326113
137.0,0.543583792555945,0.4157700534612673
138.0,0.5378019099851468,0.4089162538027265
139.0,0.5324194686609547,0.4040233602351572
140.0,0.5274900288146832,0.3996758252580158
141.0,0.5226292935383502,0.3948310526464149
142.0,0.5183967723538894,0.3895119500789867
143.0,0.514694169616978,0.3843321997558246
144.0,0.5107730522472911,0.3800803754593174
145.0,0.5074192896159379,0.37556444918934034
146.0,0.5039000462639708,0.3718837322390965
147.0,0.5007624577267317,0.36769000870220153
148.0,0.4979805849816839,0.3639548635388784
149.0,0.49552657340056294,0.36087294867827446
150.0,0.4927748519474822,0.3579452387561299
151.0,0.49055458697676646,0.3552812566693574
152.0,0.4881430759206806,0.3537450838488701
153.0,0.4865132387600327,0.35128691129059875
154.0,0.4842478244934736,0.3476653027118932
155.0,0.48282676527832336,0.34468539485647715
156.0,0.48163516592169037,0.34272864089012667
157.0,0.47971380100569033,0.34037849528930103
158.0,0.4779561527050586,0.33850467031696313
159.0,0.476390381664352,0.3352882216846632
160.0,0.4754163427552615,0.3338972104406195
161.0,0.4741025483238689,0.3329942590532854
162.0,0.47278489527284373,0.33095923378609804
163.0,0.47189881787570265,0.3299791564628427
164.0,0.47125099967594397,0.32902300496589804
165.0,0.4708910724145755,0.32739553278124606
166.0,0.47002742078338894,0.32743108501060403
167.0,0.4686341484344728,0.32611539272005463
168.0,0.4681317095634384,0.3240104124547146
169.0,0.46800942799217105,0.32376350613772875
170.0,0.46742406482342597,0.32144505983282895
171.0,0.4667248132027468,0.322334448307745
172.0,0.4666607911327392,0.3224185398510893
173.0,0.46657271070986867,0.3233140545362569
174.0,0.46636195868609165,0.32272534824167487
175.0,0.4658947036374205,0.32010487934919
176.0,0.465801426120457,0.31951418402220905
177.0,0.46568540901100314,0.31994534872752145
178.0,0.46557168322611014,0.3210325403277518
179.0,0.46548673958518744,0.318193778693578
